ItemID,Name,Type,Size,Weight,Color,Year,WarehouseID,ManufacturerID
1,Water Management Basics,Basics,4,3,Black,2021,19,1
2,Advanced Painting Supplies,Supplies,14,3,Black,2019,6,8
3,Irrigation Essentials Pack,Pack,10,8,Yellow,2011,22,23
4,Complete Gardening Essentials,Essentials,9,8,Black,2010,5,19
5,Essential Gardening Tools,Tools,6,8,Yellow,2020,22,4
6,Irrigation Starter Kit,Kit,4,11,Orange,2015,6,6
7,Networking Essentials Set,Set,3,12,Magenta,2022,4,2
8,Drainage Solutions Package,Package,4,13,Purple,2012,3,6
9,Power Management Essentials,Essentials,18,10,Mint,2012,17,20
10,Vibrant Painting Set,Set,2,2,Blue,2022,20,6
11,Paint & Brush Essentials,Essentials,19,10,Green,2015,5,6
12,Building Maintenance Kit,Kit,7,18,White,2015,16,8
13,Network Connectivity Essentials,Essentials,10,10,Magenta,2018,9,22
14,DIY Painting Kit,Kit,3,10,Yellow,2010,11,7
15,ComNetwork Installation Package,Package,5,10,Magenta,2014,14,9
16,Gardening Tools Bundle,Bundle,17,9,White,2014,9,18
17,Networking Pro Pack,Pack,8,2,Yellow,2016,15,10
18,Essential Gardening Tools,Tools,7,16,Yellow,2022,1,4
19,Electrical Tools Essentials,Essentials,10,3,Mint,2014,24,10
20,Networking Basics Kit,Kit,11,20,Purple,2020,5,8
21,Construction Essentials Kit,Kit,11,14,White,2019,4,18
22,Plumbing Repair Essentials,Essentials,12,3,Yellow,2013,14,5
23,Watering Techniques Package,Package,1,8,Yellow,2011,15,25
24,Home Construction Toolkit,Toolkit,15,1,White,2017,5,22
25,Drain Cleaning Package,Package,16,11,Blue,2023,25,11
26,Vibrant Painting Set,Set,18,4,Mint,2011,4,6
27,Plumbing Maintenance Bundle,Bundle,11,1,Magenta,2010,11,5
28,Essential Gardening Tools,Tools,1,18,Grey,2019,17,4
29,Plumbing Care Kit,Kit,9,16,Magenta,2017,24,10
30,Vibrant Painting Set,Set,4,8,Yellow,2023,25,6
31,Construction Gear Set,Set,19,3,Brown,2015,16,2
32,Irrigation Essentials Pack,Pack,5,17,Blue,2024,13,23
33,Complete Gardening Essentials,Essentials,12,4,Cyan,2022,3,19
34,Drainage Solutions Package,Package,15,18,White,2016,12,6
35,Networking Basics Bundle,Bundle,13,2,Green,2012,5,20
36,Complete Gardening Kit,Kit,3,17,Blue,2014,11,23
37,Basic Watering Solutions,Solutions,12,5,Yellow,2017,22,18
38,ComNetwork Support Package,Package,4,4,Black,2016,16,11
39,Smart Irrigation Tools,Tools,10,11,Mint,2017,23,10
40,Pipe Maintenance Kit,Kit,15,5,Mint,2024,4,11
41,Water Efficiency Essentials,Essentials,12,1,Brown,2023,21,22
42,Essential Gardening Tools,Tools,8,20,Grey,2021,24,4
43,Painting Pro Package,Package,13,18,Burdundy,2018,19,23
44,Water Supply Essentials,Essentials,7,14,Cyan,2016,24,1
45,Irrigation Starter Kit,Kit,5,6,Magenta,2020,2,6
46,Power Essentials Toolkit,Toolkit,5,10,Cyan,2020,18,9
47,Construction Helper Kit,Kit,1,2,Black,2020,19,20
48,Plumbing Fix-it Kit,Kit,6,4,Brown,2024,19,25
49,Construction Ready Pack,Pack,11,2,Purple,2018,22,1
50,DIY Painting Kit,Kit,19,10,Burdundy,2018,12,7
51,Complete Gardening Kit,Kit,16,8,Green,2024,11,23
52,Pipe Cleaning Pro Pack,Pack,14,6,Magenta,2021,2,19
53,Electricity Fundamentals Package,Package,9,11,Mint,2022,20,6
54,Smart Irrigation Tools,Tools,7,13,White,2015,22,10
55,Garden Care Essentials,Essentials,2,13,Yellow,2020,23,18
56,Pipe Maintenance Kit,Kit,13,8,Blue,2012,5,11
57,Electrical Tools Essentials,Essentials,19,10,Orange,2017,10,10
58,Water Management Basics,Basics,8,18,Pink,2018,25,1
59,Construction Pro Toolkit,Toolkit,20,4,Grey,2024,18,19
60,Irrigation Essentials Pack,Pack,15,19,Pink,2024,19,23
61,Building Maintenance Kit,Kit,7,14,Pink,2017,15,8
62,Smart Irrigation Tools,Tools,14,8,Red,2016,6,10
63,Construction Essentials Kit,Kit,5,3,Magenta,2010,7,18
64,Water Management Basics,Basics,17,4,Black,2024,22,1
65,Plumbing Maintenance Bundle,Bundle,8,14,Yellow,2020,13,5
66,Gardening Starter Set,Set,17,2,Brown,2016,23,23
67,Complete Gardening Essentials,Essentials,1,12,Burdundy,2015,19,19
68,Construction Ready Pack,Pack,10,3,Grey,2010,21,1
69,Paint & Brush Essentials,Essentials,18,12,Brown,2013,13,6
70,Garden Cultivation Set,Set,18,2,Brown,2017,21,16
71,Electricity Fundamentals Package,Package,17,13,Cyan,2012,25,6
72,Plumbing Care Kit,Kit,4,15,Mint,2024,13,10
73,Watering Techniques Package,Package,18,2,Magenta,2023,14,25
74,Network Connectivity Essentials,Essentials,10,16,Purple,2022,16,22
75,Home Construction Toolkit,Toolkit,12,16,Orange,2018,12,22
76,Garden Cultivation Set,Set,8,4,Grey,2011,10,16
77,Complete Gardening Essentials,Essentials,1,1,Mint,2014,17,19
78,Creative Painting Kit,Kit,7,4,Black,2021,10,1
79,Advanced Painting Supplies,Supplies,13,20,Magenta,2014,2,8
80,Irrigation Essentials Pack,Pack,7,18,Pink,2017,24,23
81,Complete Gardening Essentials,Essentials,11,20,Magenta,2012,15,19
82,Pipe Maintenance Kit,Kit,14,5,Magenta,2017,1,11
83,All-in-One Gardening Kit,Kit,10,6,Pink,2012,5,23
84,Plumbing Repair Essentials,Essentials,18,12,White,2020,12,5
85,Irrigation Essentials Pack,Pack,10,9,Orange,2010,9,23
86,Irrigation Starter Kit,Kit,18,2,Mint,2023,24,6
87,Construction Ready Pack,Pack,15,9,White,2023,11,1
88,Complete Gardening Kit,Kit,7,2,Cyan,2010,8,23
89,Plumbing Fix-it Kit,Kit,19,9,Red,2016,17,25
90,Irrigation Starter Kit,Kit,16,10,White,2021,24,6
91,Advanced Painting Supplies,Supplies,13,10,Magenta,2019,8,8
92,ComNetwork Installation Package,Package,15,15,Red,2010,9,9
93,All-in-One Gardening Kit,Kit,16,12,White,2018,4,23
94,Building Basics Bundle,Bundle,5,19,Brown,2022,3,23
95,Power Management Essentials,Essentials,16,10,Cyan,2017,19,20
96,Watering Techniques Package,Package,2,1,Cyan,2017,3,25
97,Vibrant Painting Set,Set,13,9,Mint,2023,7,6
98,Power Essentials Toolkit,Toolkit,17,13,Black,2011,23,9
99,Construction Helper Kit,Kit,18,2,White,2022,25,20
100,Garden Cultivation Set,Set,6,13,Burdundy,2023,11,16
101,ComNetwork Support Package,Package,12,12,Purple,2024,13,11
102,Networking Pro Pack,Pack,8,5,Blue,2020,13,10
103,Construction Ready Pack,Pack,11,7,Purple,2024,17,1
104,Painting Fundamentals Kit,Kit,4,20,Brown,2021,6,22
105,Power Management Essentials,Essentials,18,18,Green,2011,22,20
106,Drainage Solutions Package,Package,18,7,Pink,2020,22,6
107,ComNetwork Setup Bundle,Bundle,17,17,Grey,2021,6,19
108,All-in-One Gardening Kit,Kit,1,12,Black,2010,1,23
109,Electricity Fundamentals Package,Package,9,16,Grey,2016,23,6
110,Watering Techniques Package,Package,10,12,Burdundy,2015,8,25
111,Pipe Inspection Tools,Tools,13,13,White,2016,16,21
112,Plumbing Repair Essentials,Essentials,8,12,Burdundy,2020,21,5
113,Water Efficiency Essentials,Essentials,9,12,Black,2018,15,22
114,Garden Care Essentials,Essentials,8,7,Brown,2015,12,18
115,Irrigation Starter Kit,Kit,3,13,Purple,2023,20,6
116,Irrigation Starter Kit,Kit,14,6,Yellow,2022,13,6
117,Power Management Essentials,Essentials,19,5,Mint,2011,4,20
118,Creative Painting Kit,Kit,19,4,Brown,2014,22,1
119,Complete Gardening Kit,Kit,12,14,Mint,2022,13,23
120,Garden Cultivation Set,Set,2,9,Green,2016,16,16
121,Water Efficiency Essentials,Essentials,5,5,Mint,2022,15,22
122,Water Management Basics,Basics,14,5,Yellow,2015,7,1
123,Water Efficiency Essentials,Essentials,20,7,Purple,2011,16,22
124,Gardening Tools Bundle,Bundle,4,15,Grey,2011,3,18
125,Plumbing Fix-it Kit,Kit,18,10,Black,2016,11,25
126,Complete Gardening Kit,Kit,9,9,Yellow,2010,13,23
127,ComNetwork Setup Bundle,Bundle,17,4,Orange,2022,13,19
128,ComNetwork Security Pack,Pack,8,11,Burdundy,2020,6,7
129,Electrical Repair Pack,Pack,18,7,Blue,2017,4,21
130,Plumbing Fix-it Kit,Kit,17,2,Cyan,2022,8,25
131,Water Supply Essentials,Essentials,5,14,Pink,2020,4,1
132,Paint & Brush Essentials,Essentials,7,2,Magenta,2012,10,6
133,Drain Cleaning Package,Package,20,18,Green,2019,17,11
134,Garden Care Essentials,Essentials,8,17,Red,2014,9,18
135,ComNetwork Support Package,Package,1,19,Cyan,2019,8,11
136,Essential Paint Supplies,Supplies,5,15,Orange,2011,16,16
137,Plumbing Care Kit,Kit,13,1,Purple,2024,7,10
138,Vibrant Painting Set,Set,12,12,Red,2014,8,6
139,Building Maintenance Kit,Kit,16,6,Green,2017,17,8
140,Complete Gardening Essentials,Essentials,7,12,Burdundy,2016,11,19
141,Construction Essentials Kit,Kit,2,2,White,2013,21,18
142,Irrigation Essentials Pack,Pack,12,11,Purple,2015,15,23
143,Water Supply Essentials,Essentials,1,8,Magenta,2020,14,1
144,Networking Essentials Set,Set,12,5,Orange,2012,17,2
145,Electricity Essentials Kit,Kit,12,15,Grey,2017,10,17
146,Water Supply Essentials,Essentials,18,7,Brown,2017,15,1
147,Paint & Brush Essentials,Essentials,5,20,Burdundy,2020,11,6
148,ComNetwork Security Pack,Pack,16,9,Black,2018,13,7
149,ComNetwork Setup Bundle,Bundle,3,12,Black,2024,10,19
150,Garden Care Essentials,Essentials,18,2,Burdundy,2020,6,18
151,Electrical Tools Essentials,Essentials,19,20,Red,2022,11,10
152,Electricity Essentials Kit,Kit,20,10,Burdundy,2023,10,17
153,Networking Essentials Set,Set,8,16,Purple,2021,19,2
154,Pipe Inspection Tools,Tools,20,19,Yellow,2017,9,21
155,Irrigation Essentials Pack,Pack,15,17,Orange,2017,5,23
156,ComNetwork Security Pack,Pack,1,8,Black,2017,18,7
157,ComNetwork Installation Package,Package,4,13,Black,2017,9,9
158,Creative Painting Kit,Kit,7,5,Yellow,2017,3,1
159,All-in-One Gardening Kit,Kit,11,13,Purple,2015,24,23
160,Plumbing Repair Essentials,Essentials,17,17,Blue,2014,18,5
161,Drain Cleaning Package,Package,17,7,White,2012,18,11
162,Basic Electric Tools Pack,Pack,15,19,Purple,2011,25,21
163,Water Management Basics,Basics,20,9,Brown,2017,12,1
164,Pipe Maintenance Kit,Kit,18,1,Mint,2010,11,11
165,Plumbing Maintenance Bundle,Bundle,12,17,White,2013,5,5
166,Construction Pro Toolkit,Toolkit,16,14,Purple,2024,7,19
167,Home Construction Toolkit,Toolkit,3,16,Grey,2019,20,22
168,Gardening Starter Set,Set,13,19,Grey,2017,20,23
169,Gardening Master Kit,Kit,11,19,Purple,2010,9,3
170,Irrigation Starter Kit,Kit,20,4,Grey,2022,4,6
171,Construction Ready Pack,Pack,14,1,Cyan,2022,17,1
172,Construction Gear Set,Set,20,11,Brown,2018,8,2
173,Electricity Fundamentals Package,Package,18,4,Cyan,2013,24,6
174,Construction Pro Toolkit,Toolkit,3,12,Black,2016,20,19
175,Painting Fundamentals Kit,Kit,16,17,Purple,2024,5,22
176,All-in-One Gardening Kit,Kit,2,9,Green,2022,3,23
177,Electrical Repair Pack,Pack,4,10,Yellow,2018,24,21
178,Painting Fundamentals Kit,Kit,14,14,Pink,2011,12,22
179,Pipe Inspection Tools,Tools,7,20,Orange,2016,11,21
180,Networking Pro Pack,Pack,12,3,Mint,2011,6,10
181,Painting Pro Package,Package,10,9,Cyan,2022,5,23
182,Painting Pro Package,Package,16,20,Brown,2020,16,23
183,Power Essentials Toolkit,Toolkit,14,3,White,2023,8,9
184,Electrical Repair Pack,Pack,14,3,Blue,2021,9,21
185,Plumbing Maintenance Bundle,Bundle,6,13,Orange,2023,16,5
186,Drain Cleaning Package,Package,3,9,Yellow,2012,14,11
187,Water Supply Essentials,Essentials,16,2,Cyan,2018,8,1
188,Gardening Tools Bundle,Bundle,11,7,Burdundy,2023,23,18
189,Plumbing Maintenance Bundle,Bundle,12,11,Black,2015,20,5
190,Pipe Maintenance Kit,Kit,11,1,Orange,2016,21,11
191,Construction Ready Pack,Pack,4,1,Magenta,2017,5,1
192,Advanced Painting Supplies,Supplies,8,1,Yellow,2011,20,8
193,Drain Cleaning Package,Package,18,18,Brown,2020,17,11
194,Networking Basics Kit,Kit,16,7,Grey,2012,24,8
195,Power Essentials Toolkit,Toolkit,20,12,Grey,2022,17,9
196,Networking Pro Pack,Pack,7,8,Orange,2017,12,10
197,Construction Pro Toolkit,Toolkit,15,12,Yellow,2016,12,19
198,Basic Electric Tools Pack,Pack,13,17,Brown,2014,22,21
199,Gardening Starter Set,Set,1,1,Grey,2024,6,23
200,ComNetwork Setup Bundle,Bundle,9,17,Black,2010,19,19
