RentalID,ItemID,MemberID,StartDt,EndDt,Fee
1,90,71693,2019-01-05,2020-12-29,2387
2,79,16004,2019-09-14,2025-12-27,4596
3,161,84211,2022-04-16,2023-02-19,4572
4,120,3568,2024-05-04,2025-03-27,4865
5,75,16004,2022-06-26,2023-09-29,144
6,173,84211,2023-05-23,2024-11-08,2257
7,93,56507,2024-01-02,2025-03-17,3532
8,154,19734,2019-01-14,2020-04-01,201
9,170,27722,2019-10-30,2025-04-28,2921
10,91,44130,2023-11-19,2025-08-04,4440
11,72,21539,2019-08-19,2024-11-06,3284
12,74,49536,2019-10-01,2025-05-17,252
13,162,35696,2020-05-27,2022-02-20,4588
14,47,71693,2024-06-29,2024-09-15,3380
15,97,44130,2021-01-18,2022-08-20,4577
16,6,2996,2022-08-27,2023-11-01,3229
17,98,3907,2022-07-14,2023-11-30,2848
18,24,8104,2023-06-15,2024-04-20,863
19,65,11680,2020-03-12,2021-08-11,3036
20,131,27722,2020-05-06,2025-06-20,1439
21,95,78850,2019-03-28,2023-10-11,1103
22,87,19734,2021-10-20,2023-11-24,4527
23,32,27219,2023-07-13,2024-06-15,3196
24,173,96282,2020-07-22,2021-11-30,3081
25,185,42592,2021-07-23,2024-08-06,2789
26,95,84211,2019-04-23,2023-05-03,2744
27,78,7549,2019-12-11,2023-11-27,1054
28,97,7613,2021-06-14,2025-04-04,3321
29,63,74283,2019-04-09,2022-07-07,2205
30,89,3907,2023-09-16,2024-10-19,4350
31,152,2996,2021-06-16,2023-09-07,2371
32,102,56507,2023-02-19,2023-05-25,2447
33,20,27219,2024-05-21,2025-09-21,4133
34,73,21539,2023-08-17,2025-03-17,1712
35,92,43921,2022-09-20,2025-11-17,3938
36,142,43921,2022-04-23,2025-12-31,4595
37,80,31654,2022-12-23,2025-07-03,4912
38,147,42592,2021-08-27,2024-03-12,3468
39,35,29137,2023-12-08,2024-06-01,808
40,170,83412,2024-10-28,2024-12-14,3493
41,14,44914,2023-04-20,2024-08-28,2901
42,37,96282,2021-11-01,2023-02-11,4332
43,192,29137,2023-08-31,2023-11-14,2101
44,159,84887,2023-01-05,2025-05-04,2118
45,172,21539,2021-10-09,2022-10-29,1937
46,189,30193,2022-02-14,2022-12-21,1614
47,182,45261,2020-03-06,2021-12-27,442
48,45,74283,2022-05-03,2025-01-17,2980
49,99,58960,2022-01-23,2024-12-03,4176
50,95,63032,2020-03-06,2021-12-24,4117
51,144,78850,2019-11-03,2023-07-09,840
52,158,44914,2019-09-22,2023-09-28,3371
53,158,96018,2020-03-12,2025-07-04,3729
54,61,44130,2024-08-04,2025-01-05,751
55,60,7549,2023-08-13,2023-12-31,4233
56,10,3568,2021-09-09,2023-09-15,699
57,51,35696,2023-02-10,2024-03-25,3587
58,109,41794,2019-09-17,2022-09-18,521
59,121,4355,2019-06-09,2021-09-03,3127
60,41,39919,2020-12-10,2023-06-17,4936
61,110,11680,2022-05-27,2023-01-12,671
62,51,868,2023-07-19,2025-12-15,4774
63,156,63510,2019-07-31,2021-06-07,1931
64,20,22752,2024-07-21,2025-05-14,3838
65,157,2996,2021-10-07,2025-08-04,4144
66,143,11510,2019-12-30,2021-03-29,2821
67,93,44130,2023-01-18,2025-06-08,3470
68,61,44914,2021-01-13,2023-02-08,2910
69,179,95681,2020-11-18,2024-04-10,2082
70,3,63032,2019-02-15,2020-03-14,1274
71,166,42592,2022-05-01,2023-10-10,3121
72,194,61319,2020-08-25,2021-11-18,2102
73,12,7549,2019-09-05,2024-05-08,3203
74,172,34011,2021-10-05,2022-12-18,4143
75,173,80777,2022-09-13,2024-06-25,3900
76,71,96018,2021-03-02,2023-03-07,2757
77,110,80777,2019-01-31,2020-10-23,1122
78,160,78850,2019-11-30,2024-06-25,3938
79,156,71693,2020-08-31,2024-04-26,4342
80,116,68593,2020-08-27,2022-07-23,2592
81,81,89110,2019-06-20,2025-06-04,4104
82,143,95681,2023-11-28,2024-06-30,3720
83,61,73359,2019-06-29,2024-12-04,3549
84,19,7549,2023-08-17,2025-10-01,1052
85,30,31654,2019-06-15,2020-10-14,4289
86,181,4276,2023-02-06,2024-02-10,359
87,80,42364,2021-07-18,2024-01-15,2429
88,119,11510,2024-07-24,2025-12-15,2936
89,134,84211,2022-10-28,2023-03-01,2195
90,141,39919,2022-07-18,2024-11-03,780
91,48,83656,2024-06-19,2025-02-07,1683
92,197,22752,2022-02-26,2024-02-07,2432
93,63,39919,2020-06-13,2024-09-14,2799
94,16,84211,2019-07-25,2019-08-18,4906
95,163,95681,2020-09-06,2022-08-17,2416
96,24,8104,2022-01-24,2023-12-09,4099
97,3,61319,2021-09-18,2023-11-07,2211
98,5,8104,2022-07-03,2022-10-06,2788
99,164,34011,2024-09-14,2025-10-15,4475
100,144,21539,2022-12-03,2025-11-17,1020
101,189,42364,2024-04-06,2024-08-20,2953
102,136,96018,2020-05-22,2021-03-27,227
103,19,84211,2019-06-26,2025-09-28,2828
104,75,83412,2022-11-13,2023-10-08,992
105,181,58960,2021-07-31,2025-02-23,1588
106,103,41794,2024-04-11,2025-05-24,1002
107,191,11680,2023-11-20,2025-12-05,795
108,97,66407,2022-09-15,2025-09-10,1399
109,115,21539,2021-01-03,2024-08-06,1211
110,107,868,2020-03-20,2025-02-01,694
111,86,11510,2022-09-06,2023-02-28,4235
112,196,73359,2023-01-06,2023-11-03,78
113,184,28581,2022-01-23,2022-08-20,4636
114,49,4276,2021-01-08,2023-07-04,4662
115,75,7549,2021-04-20,2025-06-23,560
116,28,34011,2019-07-30,2024-06-04,4961
117,85,29137,2023-08-07,2025-12-14,391
118,164,84887,2024-02-07,2024-06-07,1681
119,154,4355,2021-02-22,2025-07-24,2594
120,122,89110,2021-09-22,2023-02-18,1232
121,72,58960,2023-08-17,2025-09-12,1164
122,61,10757,2024-05-30,2025-04-01,560
123,96,35696,2021-11-22,2022-01-19,1146
124,26,29137,2022-10-26,2024-11-17,1237
125,136,42364,2020-04-04,2025-11-19,1398
126,193,25379,2019-04-09,2020-04-11,998
127,57,43921,2022-10-01,2024-08-18,1601
128,109,49536,2020-02-06,2020-04-13,1980
129,9,8104,2021-11-20,2024-10-03,2986
130,183,61319,2024-07-24,2024-10-11,736
131,172,19242,2022-04-11,2023-10-08,1179
132,113,31654,2019-02-09,2019-07-02,3019
133,48,43921,2020-12-03,2023-10-07,3722
134,57,62370,2019-06-24,2019-10-07,2468
135,24,62370,2019-01-06,2020-07-13,3772
136,44,72193,2021-08-25,2023-02-11,1111
137,147,19242,2019-05-29,2023-12-13,4436
138,189,83656,2020-09-15,2022-05-02,2747
139,11,7549,2023-03-09,2024-09-24,1870
140,44,73359,2023-04-20,2023-05-08,2140
141,8,3907,2024-09-16,2025-01-25,472
142,57,86527,2020-02-17,2025-01-25,4083
143,47,83412,2024-08-03,2025-02-28,271
144,179,7549,2021-02-17,2025-11-17,1896
145,7,75889,2021-04-28,2024-10-23,798
146,16,78850,2019-09-19,2024-09-12,2739
147,39,7613,2019-12-13,2021-03-27,2240
148,31,16004,2019-06-14,2021-10-20,466
149,158,42592,2023-11-01,2025-05-11,3865
150,116,16004,2021-02-25,2023-03-04,395
151,185,3907,2019-09-10,2021-11-06,3376
152,129,89110,2023-05-28,2023-09-14,4170
153,43,16004,2023-10-09,2025-12-07,312
154,143,38877,2022-02-11,2022-12-17,3169
155,70,30193,2021-03-28,2022-12-11,983
156,188,42592,2020-08-28,2024-09-20,1317
157,11,16004,2020-06-17,2023-09-21,863
158,76,21539,2020-04-25,2020-10-11,1770
159,60,62370,2020-04-02,2025-01-04,3815
160,25,13617,2024-06-07,2024-07-11,1650
161,194,78850,2024-07-06,2025-08-09,254
162,90,19242,2023-07-27,2024-01-16,1482
163,160,28581,2022-01-08,2023-08-04,3406
164,185,61319,2021-08-25,2021-11-01,3463
165,134,8104,2022-04-23,2024-06-12,467
166,173,30193,2023-01-31,2025-02-11,2108
167,71,19242,2022-04-04,2025-02-08,4350
168,167,4276,2020-10-07,2024-09-09,3459
169,130,27722,2020-03-20,2023-02-21,77
170,160,63510,2019-10-15,2022-07-28,3397
171,137,7549,2020-05-07,2024-08-21,2328
172,183,68593,2022-12-23,2023-09-07,964
173,30,84887,2024-09-12,2025-02-22,2201
174,58,27219,2021-10-17,2023-12-29,580
175,88,34011,2022-03-26,2025-12-10,1809
176,133,27219,2022-12-25,2025-12-09,2318
177,11,27722,2020-06-27,2025-10-13,247
178,176,19734,2022-05-25,2024-12-18,1511
179,152,75889,2023-06-16,2025-11-20,1385
180,76,72193,2021-11-12,2023-04-03,4279
181,117,44914,2019-07-25,2024-07-19,688
182,73,7613,2021-06-05,2023-06-01,2547
183,77,16004,2022-08-16,2023-02-13,3201
184,26,19242,2022-03-11,2022-05-23,572
185,70,86527,2024-08-26,2025-11-04,30
186,55,71693,2024-05-05,2025-12-23,1273
187,129,49536,2021-08-09,2025-10-06,4038
188,179,3568,2020-05-11,2020-12-27,1545
189,109,21539,2023-04-16,2024-08-04,4184
190,89,25379,2023-10-26,2024-07-30,3531
191,77,86527,2023-11-14,2025-09-13,1267
192,91,56507,2022-09-25,2022-10-25,241
193,34,19734,2021-02-11,2022-03-05,1875
194,93,72193,2019-03-13,2024-10-05,2722
195,176,3568,2020-09-16,2025-01-28,3447
196,20,96282,2020-02-03,2022-07-20,2381
197,47,13617,2023-04-30,2025-01-26,247
198,153,27722,2019-01-06,2022-06-05,4434
199,8,58960,2021-10-14,2022-09-06,1651
200,67,75889,2024-03-18,2025-06-21,247
201,146,30193,2021-11-02,2025-10-25,3427
202,188,2996,2020-05-02,2022-11-07,3187
203,24,31654,2024-08-03,2025-06-13,221
204,7,25379,2020-04-30,2020-06-18,4253
205,158,7613,2019-08-15,2023-09-21,1550
206,39,95059,2020-02-17,2020-05-07,4334
207,38,86527,2022-01-30,2023-09-22,2492
208,95,4276,2023-11-12,2025-05-06,2537
209,60,3907,2024-04-06,2025-06-05,3642
210,184,96282,2019-07-02,2024-05-05,1222
211,54,66407,2022-03-07,2024-05-25,4221
212,135,71693,2020-11-16,2021-09-21,966
213,27,13617,2019-03-04,2023-05-02,432
214,186,42364,2023-04-11,2024-03-02,1340
215,184,13617,2021-05-18,2021-12-03,4342
216,174,7549,2023-11-06,2025-07-27,1343
217,48,62370,2020-09-25,2023-05-25,2980
218,96,19734,2022-03-06,2025-03-14,4579
219,84,56507,2023-10-29,2024-06-27,2650
220,101,49536,2020-01-23,2020-02-10,4525
221,13,80777,2021-08-08,2024-03-07,1929
222,26,95059,2020-03-02,2024-06-23,4756
223,25,49608,2022-02-07,2022-04-19,1449
224,112,49608,2021-07-19,2024-08-06,4555
225,135,84887,2021-10-14,2023-04-20,837
226,59,2996,2019-02-03,2023-05-03,4206
227,9,44130,2020-07-26,2024-02-25,3227
228,131,63510,2021-06-21,2022-03-27,648
229,39,71693,2020-08-02,2021-11-06,2350
230,158,89110,2020-05-31,2022-02-25,77
231,51,7613,2023-10-08,2025-11-28,1000
232,40,71693,2022-09-29,2024-10-21,3352
233,182,83656,2021-07-18,2023-10-09,599
234,73,25607,2023-04-04,2024-09-21,430
235,46,27722,2022-02-20,2023-12-15,2057
236,153,75889,2023-04-28,2025-07-10,3274
237,106,22752,2022-12-10,2025-05-08,1986
238,198,25379,2021-04-15,2023-01-21,4057
239,123,86527,2021-06-19,2023-05-04,1014
240,185,10757,2019-08-15,2024-10-12,617
241,86,39919,2023-12-22,2024-02-10,3698
242,139,22752,2020-01-10,2025-03-09,1148
243,192,56507,2023-04-22,2024-04-19,2911
244,91,16004,2019-05-03,2021-11-14,2883
245,84,10757,2024-08-20,2024-08-30,2509
246,21,63510,2021-05-12,2023-05-24,2013
247,51,84887,2022-09-15,2023-01-11,95
248,1,27219,2024-06-12,2024-12-03,2207
249,97,27722,2021-02-11,2023-06-22,867
250,145,43921,2021-05-04,2025-01-10,4175
251,57,49608,2019-05-08,2022-08-09,2296
252,79,42364,2020-10-15,2022-01-06,2363
253,64,4381,2024-05-10,2025-03-01,3511
254,179,27722,2022-09-02,2025-04-14,4000
255,175,44914,2022-08-26,2025-05-15,3289
256,138,3907,2022-04-04,2023-11-16,3366
257,163,29137,2022-11-17,2023-01-03,2015
258,147,95681,2019-11-04,2022-09-10,4101
259,168,43921,2019-05-04,2024-01-13,2204
260,17,84211,2022-09-30,2025-01-28,2042
261,22,31654,2021-12-04,2022-04-28,2665
262,156,3568,2021-03-26,2021-09-24,511
263,49,78850,2021-12-19,2023-03-20,335
264,164,95059,2022-11-01,2024-04-12,2376
265,28,21539,2019-12-30,2025-11-26,1011
266,52,49608,2021-06-02,2024-11-21,3940
267,17,84211,2022-04-08,2022-10-04,1929
268,189,4276,2024-03-22,2024-11-09,3004
269,21,95059,2019-10-12,2024-08-11,2675
270,44,96018,2022-02-18,2024-04-15,4767
271,98,25379,2021-06-28,2025-01-06,3883
272,47,4276,2021-04-30,2025-02-21,3508
273,112,63032,2020-01-27,2020-12-19,913
274,35,95681,2024-05-11,2025-04-30,3751
275,177,7549,2019-03-31,2025-09-18,2280
276,100,80777,2022-07-30,2023-06-11,3308
277,169,19734,2022-01-16,2025-05-08,3846
278,15,3907,2020-10-31,2022-09-14,1651
279,3,68593,2022-11-12,2025-12-01,4372
280,158,62370,2022-12-16,2025-05-17,4039
281,69,13617,2023-10-13,2025-02-19,3372
282,61,42592,2019-02-05,2021-07-29,255
283,50,75889,2021-11-27,2022-04-02,4610
284,96,3907,2021-03-17,2023-11-11,3312
285,38,83656,2019-10-13,2023-03-20,679
286,158,38877,2020-02-01,2025-11-12,849
287,134,72193,2019-11-28,2025-11-15,3292
288,136,71693,2020-01-30,2025-04-06,2599
289,92,42364,2022-07-18,2024-03-27,826
290,5,4381,2023-10-26,2024-08-17,3254
291,197,39919,2022-05-08,2023-05-19,3386
292,1,95681,2019-12-27,2022-08-19,3112
293,62,29137,2020-04-18,2021-08-09,3723
294,79,44130,2022-12-20,2025-06-12,3112
295,135,84211,2021-07-12,2023-11-08,3613
296,84,11680,2022-02-05,2023-07-17,2390
297,126,16004,2022-07-01,2025-10-28,2901
298,143,44914,2023-11-25,2025-04-21,1389
299,84,8104,2022-07-09,2023-12-22,1954
300,12,44130,2024-08-17,2025-07-27,2379
301,70,7549,2021-12-08,2024-09-02,2919
302,4,58960,2023-10-29,2025-04-04,4758
303,25,42592,2019-10-28,2021-08-28,2564
304,115,35696,2019-01-07,2022-06-28,450
305,107,42364,2023-05-27,2024-05-14,1917
306,28,8104,2021-10-17,2024-01-02,4592
307,136,4381,2020-12-04,2024-01-29,4842
308,189,10184,2023-12-21,2025-02-09,1801
309,185,83412,2022-10-17,2023-07-24,3408
310,125,4276,2020-06-16,2023-12-19,4171
311,158,28581,2020-01-05,2023-10-12,4993
312,152,11510,2021-04-07,2025-10-05,4101
313,83,86527,2022-08-23,2023-01-10,3173
314,146,63510,2023-03-02,2024-11-26,1119
315,194,3907,2019-09-02,2024-04-02,1038
316,146,62370,2022-08-16,2023-09-09,324
317,53,16004,2021-03-14,2021-12-12,4563
318,21,96282,2021-05-08,2023-04-09,4038
319,46,7613,2020-08-02,2023-07-15,4588
320,12,61319,2021-01-29,2024-06-01,2245
321,44,29137,2023-04-19,2024-09-20,164
322,32,96018,2023-02-01,2025-07-11,4559
323,127,42364,2021-04-08,2025-02-06,807
324,164,66407,2020-09-16,2022-09-25,4616
325,161,56507,2024-05-06,2024-12-08,4960
326,184,868,2019-01-05,2024-04-27,182
327,194,44130,2021-09-03,2024-12-20,656
328,195,22752,2022-05-11,2023-10-13,3383
329,195,21539,2019-02-17,2021-02-28,682
330,98,35696,2022-10-13,2025-01-10,1444
331,71,84887,2021-11-30,2025-03-11,563
332,164,74283,2022-05-19,2023-03-12,1326
333,39,7613,2021-08-06,2024-05-30,2008
334,99,25607,2022-10-20,2024-03-18,4573
335,69,4381,2020-09-13,2024-07-10,969
336,71,27219,2023-09-17,2024-09-05,2460
337,190,86527,2019-03-31,2021-08-12,3754
338,173,8104,2024-08-02,2025-02-21,1738
339,44,3907,2021-04-27,2024-11-04,3451
340,124,74283,2021-05-08,2022-03-29,3336
341,150,55364,2023-02-17,2023-11-04,4057
342,79,84211,2024-04-21,2024-05-18,2302
343,153,41794,2021-10-30,2023-10-05,4656
344,83,80777,2022-08-08,2024-01-22,1657
345,82,31654,2022-06-11,2023-11-19,124
346,59,63032,2020-04-23,2024-10-08,3059
347,187,21539,2021-11-27,2024-12-04,3765
348,4,73359,2019-09-28,2020-09-02,2201
349,58,39919,2019-07-25,2024-04-24,477
350,9,34011,2024-03-28,2024-12-01,4801
351,62,45261,2023-05-09,2025-02-18,312
352,46,94667,2023-07-29,2025-11-03,2709
353,133,3568,2019-06-11,2023-09-15,4932
354,135,73359,2021-06-04,2022-10-29,2344
355,137,58960,2019-09-24,2024-06-22,939
356,23,2996,2023-02-07,2023-08-01,4981
357,95,95059,2020-11-11,2022-10-25,3550
358,84,13617,2022-08-19,2025-10-29,1867
359,155,41794,2019-09-20,2025-02-20,2706
360,176,3568,2021-05-23,2021-11-02,1520
361,148,16004,2020-01-01,2020-12-08,989
362,193,80777,2022-10-07,2023-09-20,3055
363,187,43921,2021-01-09,2024-06-04,1770
364,185,11510,2021-11-26,2024-05-16,2182
365,54,19734,2019-04-04,2021-01-17,4816
366,34,84211,2020-06-07,2024-04-13,3406
367,52,4381,2021-10-26,2025-12-09,1889
368,38,27722,2020-09-13,2025-09-06,1712
369,175,7549,2020-04-19,2022-10-25,312
370,43,61319,2020-02-01,2025-06-04,1751
371,37,71693,2021-05-28,2022-07-13,46
372,126,84887,2020-04-24,2022-06-14,3309
373,166,89110,2019-02-02,2020-01-09,2369
374,10,10184,2024-02-24,2024-08-10,4148
375,73,868,2019-10-06,2020-05-04,3885
376,114,29137,2023-08-30,2023-11-06,1003
377,80,49536,2019-12-01,2024-07-15,2825
378,52,16004,2024-03-25,2025-02-23,91
379,120,3907,2019-05-23,2019-11-13,2999
380,182,74283,2022-02-10,2024-10-26,2978
381,22,22752,2020-10-27,2024-06-19,3535
382,175,44130,2021-02-23,2023-10-18,2075
383,17,25607,2022-09-21,2023-09-07,4421
384,123,68593,2024-01-15,2025-09-17,4174
385,176,35696,2023-08-20,2024-03-20,4569
386,147,11680,2022-04-29,2025-09-18,4395
387,74,41794,2023-02-16,2023-06-15,4317
388,193,68593,2020-08-06,2021-11-16,2330
389,154,49536,2024-08-22,2025-05-14,2894
390,178,25379,2023-01-12,2024-04-25,1217
391,100,19242,2021-06-23,2022-07-29,1262
392,15,35696,2022-08-09,2022-12-04,3225
393,109,58960,2023-02-04,2023-11-23,1190
394,81,63510,2022-07-25,2024-03-26,1167
395,3,66407,2023-11-22,2025-02-28,3552
396,135,41794,2023-12-26,2025-11-25,2250
397,28,80777,2022-08-15,2024-08-13,1088
398,175,10184,2020-08-30,2021-11-05,2335
399,146,39919,2020-09-08,2022-01-08,542
400,20,25379,2022-06-16,2024-12-26,3155
401,194,95681,2021-08-18,2023-04-06,756
402,176,11510,2019-10-24,2022-06-12,4722
403,125,96282,2024-02-16,2024-12-23,2051
404,112,84211,2020-05-10,2024-08-14,4219
405,107,49608,2024-10-19,2024-10-27,4982
406,161,83656,2022-09-11,2024-09-19,2885
407,192,43921,2022-07-08,2023-05-08,1812
408,78,74283,2019-01-12,2019-04-01,4641
409,13,44914,2024-08-09,2025-11-20,599
410,93,78850,2024-04-28,2024-10-10,2727
411,73,30193,2020-07-06,2022-09-05,1813
412,83,27219,2024-08-26,2025-10-01,4637
413,49,10184,2020-07-16,2025-06-26,2937
414,117,29137,2022-09-15,2023-01-10,4051
415,86,19242,2022-10-16,2023-07-26,1913
416,144,73359,2021-04-17,2022-05-27,4432
417,36,42364,2022-07-15,2025-05-13,3590
418,69,8104,2019-06-26,2023-09-09,4615
419,195,73359,2022-11-26,2023-12-10,2272
420,174,63510,2021-07-17,2025-01-24,2482
421,46,27219,2019-01-20,2019-04-15,3759
422,52,96018,2024-02-09,2025-09-10,2235
423,146,63510,2022-09-25,2025-05-28,4298
424,102,49536,2023-05-04,2024-12-28,375
425,156,42364,2023-12-03,2025-01-09,3512
426,200,72193,2024-09-22,2025-12-19,2738
427,52,72193,2021-10-14,2024-01-30,461
428,151,56507,2019-12-10,2024-11-29,3357
429,196,25607,2020-05-10,2025-07-18,1472
430,75,19242,2021-04-09,2022-01-26,355
431,88,19242,2023-08-15,2024-09-09,4189
432,28,94667,2022-07-10,2022-11-30,3531
433,194,63510,2022-07-10,2022-08-08,2593
434,193,13617,2020-04-10,2022-12-25,318
435,63,7613,2023-09-05,2023-10-23,3589
436,87,35696,2023-05-29,2024-02-25,3831
437,71,22752,2021-11-21,2022-04-28,406
438,173,4381,2020-06-30,2025-04-08,979
439,181,868,2022-02-23,2023-03-21,878
440,82,3907,2020-01-25,2021-01-27,4405
441,25,42364,2024-06-16,2025-07-18,4981
442,103,2996,2021-11-15,2022-03-01,3555
443,39,44130,2024-08-24,2024-09-08,2155
444,180,63032,2020-05-16,2020-09-23,1634
445,72,7549,2023-06-08,2025-03-05,3499
446,166,49536,2022-11-02,2024-05-22,2580
447,66,19242,2023-12-31,2024-05-14,4554
448,123,61319,2023-06-10,2023-11-11,974
449,135,49536,2022-10-29,2024-06-22,4707
450,64,13617,2024-04-29,2025-05-01,2517
451,156,83656,2020-11-04,2023-02-16,4091
452,111,13617,2021-09-12,2025-08-29,4376
453,10,13617,2022-11-21,2023-07-28,3504
454,193,21539,2023-12-04,2024-09-01,3134
455,82,66407,2023-09-10,2025-03-16,3790
456,190,31654,2024-02-23,2024-11-01,3625
457,22,42364,2023-12-28,2025-01-05,4884
458,130,42592,2020-10-29,2021-11-17,648
459,6,4276,2020-05-03,2020-11-19,1129
460,151,21539,2021-08-30,2022-07-17,384
461,44,84211,2021-01-03,2024-12-19,1840
462,138,28581,2020-02-23,2023-01-16,340
463,123,3568,2020-10-03,2023-05-24,541
464,195,25607,2020-10-12,2022-02-27,3525
465,76,11680,2023-10-22,2023-11-08,518
466,13,38877,2022-04-26,2025-04-18,3663
467,56,4276,2023-06-04,2025-10-11,2448
468,5,25379,2023-08-24,2024-05-08,1967
469,144,4355,2021-07-24,2023-10-15,4550
470,199,10184,2019-07-19,2025-07-18,905
471,183,66407,2021-07-25,2023-12-05,588
472,172,83412,2023-01-16,2023-01-28,659
473,23,89110,2024-08-17,2025-03-12,1971
474,104,83656,2023-12-26,2024-07-03,4253
475,78,49608,2021-02-09,2022-07-03,4926
476,83,75889,2023-04-01,2023-08-12,1923
477,174,25607,2021-06-19,2024-08-23,2152
478,118,96018,2022-04-24,2022-06-25,4575
479,72,84887,2019-04-21,2019-10-29,3106
480,192,19242,2019-03-13,2022-07-21,1648
481,159,49536,2021-06-11,2022-01-21,2079
482,77,96282,2024-03-05,2025-05-07,2955
483,75,27722,2021-05-22,2024-10-04,1303
484,41,13617,2022-03-26,2024-01-08,4794
485,188,80777,2019-01-06,2024-11-09,4002
486,85,84211,2024-07-17,2025-08-30,4689
487,120,31654,2020-02-20,2023-08-29,2496
488,31,68593,2021-03-20,2023-06-15,1255
489,56,38877,2021-09-12,2023-04-26,2936
490,158,868,2020-03-16,2023-02-05,574
491,156,3568,2019-11-23,2023-07-03,1313
492,115,78850,2019-02-11,2021-06-25,4797
493,134,3568,2022-03-14,2023-05-16,1331
494,72,39919,2024-07-16,2025-06-14,1393
495,121,16004,2024-06-13,2025-05-02,1835
496,122,89110,2020-06-29,2024-03-29,671
497,41,83656,2023-06-17,2025-03-25,1429
498,152,11680,2023-11-25,2024-11-11,2511
499,122,4355,2019-04-30,2025-02-19,3246
500,47,4381,2020-08-11,2023-05-01,2624
